chapter_verse,sanskrit,english,purport
Bg. 2.55,"Verse text
śrī-bhagavān uvāca
prajahāti yadā kāmān
sarvān pārtha mano-gatān
ātmany evātmanā tuṣṭaḥ
sthita-prajñas tadocyate","Translation
The Supreme Personality of Godhead said: O Pārtha, when a man gives up all varieties of desire for sense gratification, which arise from mental concoction, and when his mind, thus purified, finds satisfaction in the self alone, then he is said to be in pure transcendental consciousness.","Purport
The
Bhāgavatam
affirms that any person who is fully in Kṛṣṇa consciousness, or devotional service of the Lord, has all the good qualities of the great sages, whereas a person who is not so transcendentally situated has no good qualifications, because he is sure to be taking refuge in his own mental concoctions. Consequently, it is rightly said herein that one has to give up all kinds of sense desire manufactured by mental concoction. Artificially, such sense desires cannot be stopped. But if one is engaged in Kṛṣṇa consciousness, then, automatically, sense desires subside without extraneous efforts. Therefore, one has to engage himself in Kṛṣṇa consciousness without hesitation, for this devotional service will instantly help one onto the platform of transcendental consciousness. The highly developed soul always remains satisfied in himself by realizing himself as the eternal servitor of the Supreme Lord. Such a transcendentally situated person has no sense desires resulting from petty materialism; rather, he remains always happy in his natural position of eternally serving the Supreme Lord."
Bg. 2.56,"Verse text
duḥkheṣv anudvigna-manāḥ
sukheṣu vigata-spṛhaḥ
vīta-rāga-bhaya-krodhaḥ
sthita-dhīr munir ucyate","Translation
One who is not disturbed in mind even amidst the threefold miseries or elated when there is happiness, and who is free from attachment, fear and anger, is called a sage of steady mind.","Purport
The word
muni
means one who can agitate his mind in various ways for mental speculation without coming to a factual conclusion. It is said that every
muni
has a different angle of vision, and unless a
muni
differs from other
munis,
he cannot be called a
muni
in the strict sense of the term.
Nāsāv ṛṣir yasya mataṁ na bhinnam
(
Mahābhārata, Vana-parva
313.117). But a
sthita-dhīr muni,
as mentioned herein by the Lord, is different from an ordinary
muni.
The
sthita-dhīr muni
is always in Kṛṣṇa consciousness, for he has exhausted all his business of creative speculation. He is called
praśānta-niḥśeṣa-mano-rathāntara
(
Stotra-ratna
43), or one who has surpassed the stage of mental speculations and has come to the conclusion that Lord Śrī Kṛṣṇa, or Vāsudeva, is everything (
vāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ
). He is called a
muni
fixed in mind. Such a fully Kṛṣṇa conscious person is not at all disturbed by the onslaughts of the threefold miseries, for he accepts all miseries as the mercy of the Lord, thinking himself only worthy of more trouble due to his past misdeeds; and he sees that his miseries, by the grace of the Lord, are minimized to the lowest. Similarly, when he is happy he gives credit to the Lord, thinking himself unworthy of the happiness; he realizes that it is due only to the Lord’s grace that he is in such a comfortable condition and able to render better service to the Lord. And, for the service of the Lord, he is always daring and active and is not influenced by attachment or aversion. Attachment means accepting things for one’s own sense gratification, and detachment is the absence of such sensual attachment. But one fixed in Kṛṣṇa consciousness has neither attachment nor detachment because his life is dedicated in the service of the Lord. Consequently he is not at all angry even when his attempts are unsuccessful. Success or no success, a Kṛṣṇa conscious person is always steady in his determination."
Bg. 2.57,"Verse text
yaḥ sarvatrānabhisnehas
tat tat prāpya śubhāśubham
nābhinandati na dveṣṭi
tasya prajñā pratiṣṭhitā","Translation
In the material world, one who is unaffected by whatever good or evil he may obtain, neither praising it nor despising it, is firmly fixed in perfect knowledge.","Purport
There is always some upheaval in the material world which may be good or evil. One who is not agitated by such material upheavals, who is unaffected by good and evil, is to be understood to be fixed in Kṛṣṇa consciousness. As long as one is in the material world there is always the possibility of good and evil because this world is full of duality. But one who is fixed in Kṛṣṇa consciousness is not affected by good and evil, because he is simply concerned with Kṛṣṇa, who is all-good absolute. Such consciousness in Kṛṣṇa situates one in a perfect transcendental position called, technically,
samādhi."
Bg. 2.58,"Verse text
yadā saṁharate cāyaṁ
kūrmo ’ṅgānīva sarvaśaḥ
indriyāṇīndriyārthebhyas
tasya prajñā pratiṣṭhitā","Translation
One who is able to withdraw his senses from sense objects, as the tortoise draws its limbs within the shell, is firmly fixed in perfect consciousness.","Purport
The test of a
yogī,
devotee or self-realized soul is that he is able to control the senses according to his plan. Most people, however, are servants of the senses and are thus directed by the dictation of the senses. That is the answer to the question as to how the
yogī
is situated. The senses are compared to venomous serpents. They want to act very loosely and without restriction. The
yogī,
or the devotee, must be very strong to control the serpents – like a snake charmer. He never allows them to act independently. There are many injunctions in the revealed scriptures; some of them are do-not’s, and some of them are do’s. Unless one is able to follow the do’s and the do-not’s, restricting oneself from sense enjoyment, it is not possible to be firmly fixed in Kṛṣṇa consciousness. The best example, set herein, is the tortoise. The tortoise can at any moment wind up its senses and exhibit them again at any time for particular purposes. Similarly, the senses of the Kṛṣṇa conscious persons are used only for some particular purpose in the service of the Lord and are withdrawn otherwise. Arjuna is being taught here to use his senses for the service of the Lord, instead of for his own satisfaction. Keeping the senses always in the service of the Lord is the example set by the analogy of the tortoise, who keeps the senses within."
Bg. 2.59,"Verse text
viṣayā vinivartante
nirāhārasya dehinaḥ
rasa-varjaṁ raso ’py asya
paraṁ dṛṣṭvā nivartate","Translation
Though the embodied soul may be restricted from sense enjoyment, the taste for sense objects remains. But, ceasing such engagements by experiencing a higher taste, he is fixed in consciousness.","Purport
Unless one is transcendentally situated, it is not possible to cease from sense enjoyment. The process of restriction from sense enjoyment by rules and regulations is something like restricting a diseased person from certain types of eatables. The patient, however, neither likes such restrictions nor loses his taste for eatables. Similarly, sense restriction by some spiritual process like
aṣṭāṅga-yoga,
in the matter of
yama, niyama, āsana, prāṇāyāma, pratyāhāra, dhāraṇā, dhyāna,
etc., is recommended for less intelligent persons who have no better knowledge. But one who has tasted the beauty of the Supreme Lord Kṛṣṇa, in the course of his advancement in Kṛṣṇa consciousness, no longer has a taste for dead, material things. Therefore, restrictions are there for the less intelligent neophytes in the spiritual advancement of life, but such restrictions are only good until one actually has a taste for Kṛṣṇa consciousness. When one is actually Kṛṣṇa conscious, he automatically loses his taste for pale things."
Bg. 2.60,"Verse text
yatato hy api kaunteya
puruṣasya vipaścitaḥ
indriyāṇi pramāthīni
haranti prasabhaṁ manaḥ","Translation
The senses are so strong and impetuous, O Arjuna, that they forcibly carry away the mind even of a man of discrimination who is endeavoring to control them.","Purport
There are many learned sages, philosophers and transcendentalists who try to conquer the senses, but in spite of their endeavors, even the greatest of them sometimes fall victim to material sense enjoyment due to the agitated mind. Even Viśvāmitra, a great sage and perfect
yogī,
was misled by Menakā into sex enjoyment, although the
yogī
was endeavoring for sense control with severe types of penance and
yoga
practice. And, of course, there are so many similar instances in the history of the world. Therefore, it is very difficult to control the mind and senses without being fully Kṛṣṇa conscious. Without engaging the mind in Kṛṣṇa, one cannot cease such material engagements. A practical example is given by Śrī Yāmunācārya, a great saint and devotee, who says:
yad-avadhi mama cetaḥ kṛṣṇa-pādāravinde
nava-nava-rasa-dhāmany udyataṁ rantum āsīt
tad-avadhi bata nārī-saṅgame smaryamāne
bhavati mukha-vikāraḥ suṣṭhu niṣṭhīvanaṁ ca
“Since my mind has been engaged in the service of the lotus feet of Lord Kṛṣṇa, and I have been enjoying an ever new transcendental humor, whenever I think of sex life with a woman, my face at once turns from it, and I spit at the thought.”
Kṛṣṇa consciousness is such a transcendentally nice thing that automatically material enjoyment becomes distasteful. It is as if a hungry man had satisfied his hunger by a sufficient quantity of nutritious eatables. Mahārāja Ambarīṣa also conquered a great
yogī,
Durvāsā Muni, simply because his mind was engaged in Kṛṣṇa consciousness (
sa vai manaḥ kṛṣṇa-padāravindayor vacāṁsi vaikuṇṭha-guṇānuvarṇane
)."
Bg. 2.61,"Verse text
tāni sarvāṇi saṁyamya
yukta āsīta mat-paraḥ
vaśe hi yasyendriyāṇi
tasya prajñā pratiṣṭhitā","Translation
One who restrains his senses, keeping them under full control, and fixes his consciousness upon Me, is known as a man of steady intelligence.","Purport
That the highest conception of
yoga
perfection is Kṛṣṇa consciousness is clearly explained in this verse. And unless one is Kṛṣṇa conscious it is not at all possible to control the senses. As cited above, the great sage Durvāsā Muni picked a quarrel with Mahārāja Ambarīṣa, and Durvāsā Muni unnecessarily became angry out of pride and therefore could not check his senses. On the other hand, the king, although not as powerful a
yogī
as the sage, but a devotee of the Lord, silently tolerated all the sage’s injustices and thereby emerged victorious. The king was able to control his senses because of the following qualifications, as mentioned in the
Śrīmad-Bhāgavatam
(9.4.18–20)
:
sa vai manaḥ kṛṣṇa-padāravindayor
vacāṁsi vaikuṇṭha-guṇānuvarṇane
karau harer mandira-mārjanādiṣu
śrutiṁ cakārācyuta-sat-kathodaye
mukunda-liṅgālaya-darśane dṛśau
tad-bhṛtya-gātra-sparśe ’ṅga-saṅgamam
ghrāṇaṁ ca tat-pāda-saroja-saurabhe
śrīmat-tulasyā rasanāṁ tad-arpite
pādau hareḥ kṣetra-padānusarpaṇe
śiro hṛṣīkeśa-padābhivandane
kāmaṁ ca dāsye na tu kāma-kāmyayā
yathottama-śloka-janāśrayā ratiḥ
“King Ambarīṣa fixed his mind on the lotus feet of Lord Kṛṣṇa, engaged his words in describing the abode of the Lord, his hands in cleansing the temple of the Lord, his ears in hearing the pastimes of the Lord, his eyes in seeing the form of the Lord, his body in touching the body of the devotee, his nostrils in smelling the flavor of the flowers offered to the lotus feet of the Lord, his tongue in tasting the
tulasī
leaves offered to Him, his legs in traveling to the holy place where His temple is situated, his head in offering obeisances unto the Lord, and his desires in fulfilling the desires of the Lord … and all these qualifications made him fit to become a
mat-para
devotee of the Lord.”
The word
mat-para
is most significant in this connection. How one can become
mat-para
is described in the life of Mahārāja Ambarīṣa. Śrīla Baladeva Vidyābhūṣaṇa, a great scholar and
ācārya
in the line of the
mat-para,
remarks,
mad-bhakti-prabhāvena sarvendriya-vijaya-pūrvikā svātma-dṛṣṭiḥ su-labheti bhāvaḥ.
“The senses can be completely controlled only by the strength of devotional service to Kṛṣṇa.” Also, the example of fire is sometimes given: “As a blazing fire burns everything within a room, Lord Viṣṇu, situated in the heart of the
yogī,
burns up all kinds of impurities.” The
Yoga-sūtra
also prescribes meditation on Viṣṇu, and not meditation on the void. The so-called
yogīs
who meditate on something other than the Viṣṇu form simply waste their time in a vain search after some phantasmagoria. We have to be Kṛṣṇa conscious – devoted to the Personality of Godhead. This is the aim of the real
yoga."
Bg. 2.62,"Verse text
dhyāyato viṣayān puṁsaḥ
saṅgas teṣūpajāyate
saṅgāt sañjāyate kāmaḥ
kāmāt krodho ’bhijāyate","Translation
While contemplating the objects of the senses, a person develops attachment for them, and from such attachment lust develops, and from lust anger arises.","Purport
One who is not Kṛṣṇa conscious is subjected to material desires while contemplating the objects of the senses. The senses require real engagements, and if they are not engaged in the transcendental loving service of the Lord, they will certainly seek engagement in the service of materialism. In the material world everyone, including Lord Śiva and Lord Brahmā – to say nothing of other demigods in the heavenly planets – is subjected to the influence of sense objects, and the only method to get out of this puzzle of material existence is to become Kṛṣṇa conscious. Lord Śiva was deep in meditation, but when Pārvatī agitated him for sense pleasure, he agreed to the proposal, and as a result Kārtikeya was born. When Haridāsa Ṭhākura was a young devotee of the Lord, he was similarly allured by the incarnation of Māyā-devī, but Haridāsa easily passed the test because of his unalloyed devotion to Lord Kṛṣṇa. As illustrated in the above-mentioned verse of Śrī Yāmunācārya, a sincere devotee of the Lord shuns all material sense enjoyment due to his higher taste for spiritual enjoyment in the association of the Lord. That is the secret of success. One who is not, therefore, in Kṛṣṇa consciousness, however powerful he may be in controlling the senses by artificial repression, is sure ultimately to fail, for the slightest thought of sense pleasure will agitate him to gratify his desires."
Bg. 2.63,"Verse text
krodhād bhavati sammohaḥ
sammohāt smṛti-vibhramaḥ
smṛti-bhraṁśād buddhi-nāśo
buddhi-nāśāt praṇaśyati","Translation
From anger, complete delusion arises, and from delusion bewilderment of memory. When memory is bewildered, intelligence is lost, and when intelligence is lost one falls down again into the material pool.","Purport
Śrīla Rūpa Gosvāmī has given us this direction:
prāpañcikatayā buddhyā
hari-sambandhi-vastunaḥ
mumukṣubhiḥ parityāgo
vairāgyaṁ phalgu kathyate
(
Bhakti-rasāmṛta-sindhu
1.2.258)
By development of Kṛṣṇa consciousness one can know that everything has its use in the service of the Lord. Those who are without knowledge of Kṛṣṇa consciousness artificially try to avoid material objects, and as a result, although they desire liberation from material bondage, they do not attain to the perfect stage of renunciation. Their so-called renunciation is called
phalgu,
or less important. On the other hand, a person in Kṛṣṇa consciousness knows how to use everything in the service of the Lord; therefore he does not become a victim of material consciousness. For example, for an impersonalist, the Lord, or the Absolute, being impersonal, cannot eat. Whereas an impersonalist tries to avoid good eatables, a devotee knows that Kṛṣṇa is the supreme enjoyer and that He eats all that is offered to Him in devotion. So, after offering good eatables to the Lord, the devotee takes the remnants, called
prasādam.
Thus everything becomes spiritualized, and there is no danger of a downfall. The devotee takes
prasādam
in Kṛṣṇa consciousness, whereas the nondevotee rejects it as material. The impersonalist, therefore, cannot enjoy life, due to his artificial renunciation; and for this reason, a slight agitation of the mind pulls him down again into the pool of material existence. It is said that such a soul, even though rising up to the point of liberation, falls down again due to his not having support in devotional service."
Bg. 2.64,"Verse text
rāga-dveṣa-vimuktais tu
viṣayān indriyaiś caran
ātma-vaśyair vidheyātmā
prasādam adhigacchati","Translation
But a person free from all attachment and aversion and able to control his senses through regulative principles of freedom can obtain the complete mercy of the Lord.","Purport
It is already explained that one may externally control the senses by some artificial process, but unless the senses are engaged in the transcendental service of the Lord, there is every chance of a fall. Although the person in full Kṛṣṇa consciousness may apparently be on the sensual plane, because of his being Kṛṣṇa conscious he has no attachment to sensual activities. The Kṛṣṇa conscious person is concerned only with the satisfaction of Kṛṣṇa, and nothing else. Therefore he is transcendental to all attachment and detachment. If Kṛṣṇa wants, the devotee can do anything which is ordinarily undesirable; and if Kṛṣṇa does not want, he shall not do that which he would have ordinarily done for his own satisfaction. Therefore to act or not to act is within his control because he acts only under the direction of Kṛṣṇa. This consciousness is the causeless mercy of the Lord, which the devotee can achieve in spite of his being attached to the sensual platform."
Bg. 2.65,"Verse text
prasāde sarva-duḥkhānāṁ
hānir asyopajāyate
prasanna-cetaso hy āśu
buddhiḥ paryavatiṣṭhate","Translation
For one thus satisfied [in Kṛṣṇa consciousness], the threefold miseries of material existence exist no longer; in such satisfied consciousness, one’s intelligence is soon well established.",
Bg. 2.66,"Verse text
nāsti buddhir ayuktasya
na cāyuktasya bhāvanā
na cābhāvayataḥ śāntir
aśāntasya kutaḥ sukham","Translation
One who is not connected with the Supreme [in Kṛṣṇa consciousness] can have neither transcendental intelligence nor a steady mind, without which there is no possibility of peace. And how can there be any happiness without peace?","Purport
Unless one is in Kṛṣṇa consciousness, there is no possibility of peace. So it is confirmed in the Fifth Chapter (5.29) that when one understands that Kṛṣṇa is the only enjoyer of all the good results of sacrifice and penance, that He is the proprietor of all universal manifestations, and that He is the real friend of all living entities, then only can one have real peace. Therefore, if one is not in Kṛṣṇa consciousness, there cannot be a final goal for the mind. Disturbance is due to want of an ultimate goal, and when one is certain that Kṛṣṇa is the enjoyer, proprietor and friend of everyone and everything, then one can, with a steady mind, bring about peace. Therefore, one who is engaged without a relationship with Kṛṣṇa is certainly always in distress and is without peace, however much he may make a show of peace and spiritual advancement in life. Kṛṣṇa consciousness is a self-manifested peaceful condition which can be achieved only in relationship with Kṛṣṇa."
Bg. 2.67,"Verse text
indriyāṇāṁ hi caratāṁ
yan mano ’nuvidhīyate
tad asya harati prajñāṁ
vāyur nāvam ivāmbhasi","Translation
As a strong wind sweeps away a boat on the water, even one of the roaming senses on which the mind focuses can carry away a man’s intelligence.","Purport
Unless all of the senses are engaged in the service of the Lord, even one of them engaged in sense gratification can deviate the devotee from the path of transcendental advancement. As mentioned in the life of Mahārāja Ambarīṣa, all of the senses must be engaged in Kṛṣṇa consciousness, for that is the correct technique for controlling the mind."
Bg. 2.68,"Verse text
tasmād yasya mahā-bāho
nigṛhītāni sarvaśaḥ
indriyāṇīndriyārthebhyas
tasya prajñā pratiṣṭhitā","Translation
Therefore, O mighty-armed, one whose senses are restrained from their objects is certainly of steady intelligence.","Purport
One can curb the forces of sense gratification only by means of Kṛṣṇa consciousness, or engaging all the senses in the transcendental loving service of the Lord. As enemies are curbed by superior force, the senses can similarly be curbed, not by any human endeavor, but only by keeping them engaged in the service of the Lord. One who has understood this – that only by Kṛṣṇa consciousness is one really established in intelligence and that one should practice this art under the guidance of a bona fide spiritual master – is called a
sādhaka,
or a suitable candidate for liberation."
Bg. 2.69,"Verse text
yā niśā sarva-bhūtānāṁ
tasyāṁ jāgarti saṁyamī
yasyāṁ jāgrati bhūtāni
sā niśā paśyato muneḥ","Translation
What is night for all beings is the time of awakening for the self-controlled; and the time of awakening for all beings is night for the introspective sage.","Purport
There are two classes of intelligent men. One is intelligent in material activities for sense gratification, and the other is introspective and awake to the cultivation of self-realization. Activities of the introspective sage, or thoughtful man, are night for persons materially absorbed. Materialistic persons remain asleep in such a night due to their ignorance of self-realization. The introspective sage remains alert in the “night” of the materialistic men. The sage feels transcendental pleasure in the gradual advancement of spiritual culture, whereas the man in materialistic activities, being asleep to self-realization, dreams of varieties of sense pleasure, feeling sometimes happy and sometimes distressed in his sleeping condition. The introspective man is always indifferent to materialistic happiness and distress. He goes on with his self-realization activities undisturbed by material reactions."
Bg. 2.70,"Verse text
āpūryamāṇam acala-pratiṣṭhaṁ
samudram āpaḥ praviśanti yadvat
tadvat kāmā yaṁ praviśanti sarve
sa śāntim āpnoti na kāma-kāmī","Translation
A person who is not disturbed by the incessant flow of desires – that enter like rivers into the ocean, which is ever being filled but is always still – can alone achieve peace, and not the man who strives to satisfy such desires.","Purport
Although the vast ocean is always filled with water, it is always, especially during the rainy season, being filled with much more water. But the ocean remains the same – steady; it is not agitated, nor does it cross beyond the limit of its brink. That is also true of a person fixed in Kṛṣṇa consciousness. As long as one has the material body, the demands of the body for sense gratification will continue. The devotee, however, is not disturbed by such desires, because of his fullness. A Kṛṣṇa conscious man is not in need of anything, because the Lord fulfills all his material necessities. Therefore he is like the ocean – always full in himself. Desires may come to him like the waters of the rivers that flow into the ocean, but he is steady in his activities, and he is not even slightly disturbed by desires for sense gratification. That is the proof of a Kṛṣṇa conscious man – one who has lost all inclinations for material sense gratification, although the desires are present. Because he remains satisfied in the transcendental loving service of the Lord, he can remain steady, like the ocean, and therefore enjoy full peace. Others, however, who want to fulfill desires even up to the limit of liberation, what to speak of material success, never attain peace. The fruitive workers, the salvationists, and also the
yogīs
who are after mystic powers are all unhappy because of unfulfilled desires. But the person in Kṛṣṇa consciousness is happy in the service of the Lord, and he has no desires to be fulfilled. In fact, he does not even desire liberation from the so-called material bondage. The devotees of Kṛṣṇa have no material desires, and therefore they are in perfect peace."
Bg. 2.71,"Verse text
vihāya kāmān yaḥ sarvān
pumāṁś carati niḥspṛhaḥ
nirmamo nirahaṅkāraḥ
sa śāntim adhigacchati","Translation
A person who has given up all desires for sense gratification, who lives free from desires, who has given up all sense of proprietorship and is devoid of false ego – he alone can attain real peace.","Purport
To become desireless means not to desire anything for sense gratification. In other words, desire for becoming Kṛṣṇa conscious is actually desirelessness. To understand one’s actual position as the eternal servitor of Kṛṣṇa, without falsely claiming this material body to be oneself and without falsely claiming proprietorship over anything in the world, is the perfect stage of Kṛṣṇa consciousness. One who is situated in this perfect stage knows that because Kṛṣṇa is the proprietor of everything, everything must be used for the satisfaction of Kṛṣṇa. Arjuna did not want to fight for his own sense satisfaction, but when he became fully Kṛṣṇa conscious he fought because Kṛṣṇa wanted him to fight. For himself there was no desire to fight, but for Kṛṣṇa the same Arjuna fought to his best ability. Real desirelessness is desire for the satisfaction of Kṛṣṇa, not an artificial attempt to abolish desires. The living entity cannot be desireless or senseless, but he does have to change the quality of the desires. A materially desireless person certainly knows that everything belongs to Kṛṣṇa (
īśāvāsyam idaṁ sarvam
), and therefore he does not falsely claim proprietorship over anything. This transcendental knowledge is based on self-realization – namely, knowing perfectly well that every living entity is an eternal part and parcel of Kṛṣṇa in spiritual identity, and that the eternal position of the living entity is therefore never on the level of Kṛṣṇa or greater than Him. This understanding of Kṛṣṇa consciousness is the basic principle of real peace."
Bg. 2.72,"Verse text
eṣā brāhmī sthitiḥ pārtha
naināṁ prāpya vimuhyati
sthitvāsyām anta-kāle ’pi
brahma-nirvāṇam ṛcchati","Translation
That is the way of the spiritual and godly life, after attaining which a man is not bewildered. If one is thus situated even at the hour of death, one can enter into the kingdom of God.","Purport
One can attain Kṛṣṇa consciousness or divine life at once, within a second – or one may not attain such a state of life even after millions of births. It is only a matter of understanding and accepting the fact. Khaṭvāṅga Mahārāja attained this state of life just a few minutes before his death, by surrendering unto Kṛṣṇa.
Nirvāṇa
means ending the process of materialistic life. According to Buddhist philosophy, there is only void after the completion of this material life, but
Bhagavad-gītā
teaches differently. Actual life begins after the completion of this material life. For the gross materialist it is sufficient to know that one has to end this materialistic way of life, but for persons who are spiritually advanced, there is another life after this materialistic life. Before ending this life, if one fortunately becomes Kṛṣṇa conscious, he at once attains the stage of
brahma-nirvāṇa.
There is no difference between the kingdom of God and the devotional service of the Lord. Since both of them are on the absolute plane, to be engaged in the transcendental loving service of the Lord is to have attained the spiritual kingdom. In the material world there are activities of sense gratification, whereas in the spiritual world there are activities of Kṛṣṇa consciousness. Attainment of Kṛṣṇa consciousness even during this life is immediate attainment of Brahman, and one who is situated in Kṛṣṇa consciousness has certainly already entered into the kingdom of God.
Brahman is just the opposite of matter. Therefore
brāhmī sthiti
means “not on the platform of material activities.” Devotional service of the Lord is accepted in the
Bhagavad-gītā
as the liberated stage (
sa guṇān samatītyaitān brahma-bhūyāya kalpate
). Therefore,
brāhmī sthiti
is liberation from material bondage.
Śrīla Bhaktivinoda Ṭhākura has summarized this Second Chapter of the
Bhagavad-gītā
as being the contents for the whole text. In the
Bhagavad-gītā,
the subject matters are
karma-yoga, jñāna-yoga
and
bhakti-yoga
. In the Second Chapter
karma-yoga
and
jñāna-yoga
have been clearly discussed, and a glimpse of
bhakti-yoga
has also been given, as the contents for the complete text.
Thus end the Bhaktivedanta Purports to the Second Chapter of the
Śrīmad Bhagavad-gītā
in the matter of its Contents."
Bg. 3.1,"Verse text
arjuna uvāca
jyāyasī cet karmaṇas te
matā buddhir janārdana
tat kiṁ karmaṇi ghore māṁ
niyojayasi keśava","Translation
Arjuna said: O Janārdana, O Keśava, why do You want to engage me in this ghastly warfare, if You think that intelligence is better than fruitive work?","Purport
The Supreme Personality of Godhead Śrī Kṛṣṇa has very elaborately described the constitution of the soul in the previous chapter, with a view to delivering His intimate friend Arjuna from the ocean of material grief. And the path of realization has been recommended:
buddhi-yoga,
or Kṛṣṇa consciousness. Sometimes Kṛṣṇa consciousness is misunderstood to be inertia, and one with such a misunderstanding often withdraws to a secluded place to become fully Kṛṣṇa conscious by chanting the holy name of Lord Kṛṣṇa. But without being trained in the philosophy of Kṛṣṇa consciousness, it is not advisable to chant the holy name of Kṛṣṇa in a secluded place, where one may acquire only cheap adoration from the innocent public. Arjuna also thought of Kṛṣṇa consciousness or
buddhi-yoga,
or intelligence in spiritual advancement of knowledge, as something like retirement from active life and the practice of penance and austerity at a secluded place. In other words, he wanted to skillfully avoid the fighting by using Kṛṣṇa consciousness as an excuse. But as a sincere student, he placed the matter before his master and questioned Kṛṣṇa as to his best course of action. In answer, Lord Kṛṣṇa elaborately explained
karma-yoga,
or work in Kṛṣṇa consciousness, in this Third Chapter."
